id,pts,road,green,svf,building,meanh,temp,ws,humi
1,2,35.65,0,21.36,32.24,3.96,26.91,1.1,74
2,3,0,96.99,99.93,0.02,1,27.71,2.6,74
3,2,55.75,0,24.01,23.47,9.87,27.71,2.6,74
4,3,42.27,0,16.28,30.09,4,27.71,2.6,74
5,2,39.95,22.95,14.51,16.79,7.2,27.71,2.6,74
6,3,14.93,55.68,49.45,7,4.16,27.71,2.6,74
7,1,50.06,0.42,31.89,26.26,5.94,27.71,2.6,74
8,2,32.14,3.91,54.41,17.57,3.97,27.71,2.6,74
9,2,43.77,0,53.35,31.49,3.54,27.71,2.6,74
10,2,17.78,56.74,70.74,11.04,4.51,26.37,2.2,84
11,1,38.4,10.41,9.48,25.55,3.6,26.37,2.2,84
12,2,47.58,0,6.71,34.61,5.06,26.37,2.2,84
13,3,47.01,0,18.65,31.3,4.52,26.37,2.2,84
14,2,49.65,0,32.12,34.41,4.71,26.37,2.2,84
15,2,37.54,18.72,43.08,13.09,7.56,26.37,2.2,84
16,1,42.29,0,28.6,45.89,2.2,23.17,1.5,96
17,2,34.56,0,30.89,39,3.32,23.17,1.5,96
18,2,24.77,42.33,31.83,13.1,5.68,23.17,1.5,96
19,2,58.79,0,66.26,22.37,8.54,23.17,1.5,96
20,1,31.34,2.2,46.13,10.38,3.85,22.6,0.9,98
21,1,56.39,0,34.57,26.87,7.2,22.6,0.9,98
22,2,37.71,0,78.29,37.14,3.62,23.17,1.5,96
23,1,39.46,0,2.92,34.7,4.11,23.17,1.5,96
24,3,50.19,0,34.49,28.76,7.41,23.17,1.5,96
25,1,43.59,12.04,19.02,18.3,6.66,23.17,1.5,96
26,2,37.39,12.64,4.13,25.85,3.34,22.76,0.9,98
27,1,36.96,13.42,7.1,25.74,3.3,22.76,0.9,98
28,1,37.57,2.05,37.62,13.09,9.24,22.76,0.9,98
29,4,57.44,0,20.51,17.03,7.61,22.76,0.9,98
30,1,21.53,33.71,16.25,20.59,2.53,22.76,0.9,98
31,2,55.04,0,42.26,24.37,6.41,22.76,0.9,98
32,2,37.59,0,20.92,26.69,3,22.76,0.9,98
33,3,33.46,0,27.55,41.4,2.76,22.76,0.9,98
34,3,33.46,0,27.55,41.4,2.76,22.76,0.9,98
35,1,31.77,14.99,21.78,30.08,2.95,22.76,0.9,98
36,1,38.92,13.09,33.9,20.57,4.04,22.76,0.9,98
37,2,42.43,0,41.18,29.37,5.37,22.76,0.9,98
38,1,31.34,2.2,46.13,10.38,3.85,22.6,0.9,98
39,1,31.08,2.59,12.9,10.18,3.86,22.6,0.9,98
40,2,39.04,16.25,70.97,14.27,5.86,22.6,0.9,98
41,1,32.83,0,5.19,32.35,3.66,22.6,0.9,98
42,1,48.41,0,23.16,17.43,9.45,22.6,0.9,98
43,1,44.53,1,61.52,16.79,8.98,22.6,0.9,98
44,3,43.2,3.16,66.67,28.41,3.76,22.6,0.9,98
45,4,32.04,0,6.45,50.22,2.34,22.6,0.9,98
46,1,45.02,0,25.6,17.99,8.38,22.6,0.9,98
47,3,38.85,0,10.92,36.27,4.77,22.49,0.7,99
48,2,39.84,0,11.11,33.77,4.13,22.49,0.7,99
49,2,52.96,0,62.87,25.56,6.82,22.49,0.7,99
50,1,36.76,0,3.6,31.82,3.31,22.49,0.7,99
51,3,30.21,7.66,0.29,9.27,10.03,22.49,0.7,99
52,1,38.35,10.54,7.5,25.48,3.6,22.46,0.9,98
53,3,43.55,11.46,48.68,18.74,6.62,22.37,0.8,98
54,1,38.33,10.73,4.66,25.39,3.6,22.34,0.9,98
55,3,35.36,31.05,47.88,14.63,7.3,29,1.5,63
56,3,42.28,0,14.63,29.9,4.02,29,1.5,63
57,2,14.07,57.37,48.13,6.68,4,29,1.5,63
58,2,55.51,0,19.38,23.26,9.85,29,1.5,63
59,3,49.06,0.02,40.94,18.69,9.11,29,1.5,63
60,3,49.07,0,14.68,18.63,9.09,29,1.5,63
61,2,48.42,0,8.51,33.27,5.82,27.7,1,70
62,1,34.59,23.36,49.37,10.7,9.9,27.7,1,70
63,3,47.32,0,8.25,34.76,5.03,27.7,1,70
64,3,43.61,12.25,27.36,18.05,6.66,27.7,1,70
65,2,55.81,0,43.23,25.18,6.57,27.7,1,70
66,2,54.77,0,41.5,24.74,6.39,27.7,1,70
67,3,46.2,0,1.23,29.46,4.26,27.7,1,70
68,1,45.1,0,49.26,29.19,4.62,26.91,1.1,74
69,2,41.45,0,32.98,28.88,4,26.91,1.1,74
70,2,53.72,0,76.49,28.8,6.44,26.91,1.1,74
71,2,44.3,0,40.75,28.99,5.69,26.91,1.1,74
72,2,17.75,56.71,70.44,11.01,4.5,26.91,1.1,74
73,2,32.44,0.9,28.54,28.68,3.17,26.91,1.1,74
74,3,51.82,0,14.95,27.41,8.76,26.91,1.1,74
75,3,21.28,34.41,27.49,20.43,2.52,26.91,1.1,74
76,3,51.05,0,16.96,28.02,8.59,26.91,1.1,74
77,3,33.92,26.43,27.11,18.68,6.01,26.91,1.1,74
78,2,23.02,44.94,15.55,12.59,5.49,26.91,1.1,74
79,4,38.46,5.69,29.82,25.66,5.56,26.91,1.1,74
80,2,34.03,4.74,79.58,10.84,8.82,26.91,1.1,74
81,3,47.03,0,20.69,31.26,4.52,26.47,1.5,76
82,3,41.49,14.8,6.9,19.9,5.44,26.47,1.5,76
83,1,60.59,2.39,26.79,18.8,11.61,26.47,1.5,76
84,1,60.59,2.39,26.79,18.8,11.61,26.47,1.5,76
85,3,60.61,0,46.72,22.63,8.99,26.47,1.5,76
86,2,39.04,12.86,32.4,20.63,4.06,26.47,1.5,76
87,2,31.74,14.88,20.37,30.28,2.95,26.47,1.5,76
88,2,31.91,14.8,20.15,30.15,2.95,26.47,1.5,76
89,3,49.88,2.14,29.44,23.98,5.53,26.47,1.5,76
90,2,36.78,0,69.79,37.95,2.91,26.47,1.5,76
91,2,36.76,0,69.99,37.99,2.91,26.47,1.5,76
92,3,35.17,23.88,8.24,19.58,6.02,25.99,1.4,78
93,3,52.22,0,4.69,26.79,6.81,25.99,1.4,78
94,3,37.73,0,6.82,30.99,3.08,25.99,1.4,78
95,3,36.67,0,47.29,31.72,3.33,25.99,1.4,78
96,4,32.04,0,6.45,50.22,2.34,25.99,1.4,78
97,1,31.41,2.21,44.99,10.41,3.85,25.4,1.1,82
98,2,38.85,0,11.17,36.28,4.77,25.4,1.1,82
99,3,30.54,23.43,18.16,23.79,2.72,24.71,1.1,85
100,2,54.68,0,48.84,24.46,7.61,30.8,2.4,70
101,4,46.02,0,2.09,29.26,4.28,30.8,2.4,70
102,2,35.08,11.78,66.16,26.08,6.3,30.8,2.4,70
103,2,34.7,14.73,58.91,25.91,5.93,30.8,2.4,70
104,3,43.73,0,37.38,31.44,3.54,30.8,2.4,70
105,3,57.39,0.91,64.8,22.74,8.1,30.8,2.4,70
106,2,38.3,10.94,30.06,25.31,3.6,30.8,2.4,70
107,3,42.09,12.62,52.34,21.59,4.98,30.13,2.4,73
108,3,38.34,0,35.66,36.62,3.81,30.13,2.4,73
109,3,38.34,0,35.66,36.62,3.81,30.13,2.4,73
110,2,39.79,0,1.33,7.68,7.93,30.13,2.4,73
111,3,53.7,0,42.05,25.19,6.96,30.13,2.4,73
112,3,44.16,7.4,43.55,18.93,7.76,30.13,2.4,73
113,2,17.61,56.92,92.43,10.97,4.48,30.13,2.4,73
114,3,47.28,0,7.75,30.64,4.64,30.13,2.4,73
115,3,40.6,2.46,46.82,34.98,3.78,30.13,2.4,73
116,3,35.45,30.74,0.17,14.75,7.31,30.13,2.4,73
117,4,30.02,25.19,67.14,17.41,4.52,30.13,2.4,73
118,2,36.77,0,70.15,37.99,2.91,30.13,2.4,73
119,2,31.05,2.82,40.53,36.1,2.57,30.13,2.4,73
120,3,35.27,0,22.86,32.91,3.87,30.13,2.4,73
121,1,34.81,3.42,36.2,38.49,3.4,29.7,2.1,75
122,3,23.02,30.97,18.1,20.91,2.83,29.7,2.1,75
123,3,36.68,11,21.42,22.09,4.15,29.7,2.1,75
124,2,38.36,10.68,7.08,25.41,3.59,29.7,2.1,75
125,2,38.11,0,48.93,27.51,2.99,29.7,2.1,75
126,3,35.22,24.17,2.83,19.04,6.13,29.7,2.1,75
127,3,49.58,0,18.54,28.88,8.27,29.7,2.1,75
128,3,49.93,0,18.49,28.59,8.38,29.7,2.1,75
129,3,47.63,1.17,6.74,26.36,5.19,29.16,2,78
130,3,42.93,0,8.5,10.88,6.28,29.16,2,78
131,3,31.77,14.38,21.1,30.97,2.91,29.16,2,78
132,3,31.77,14.38,21.1,30.97,2.91,29.16,2,78
133,3,43.56,11.44,49.94,18.77,6.62,29.16,2,78
134,4,34.03,4.74,79.58,10.84,8.82,29.16,2,78
135,4,57.46,0,2.34,17.04,7.73,29.16,2,78
136,3,34.89,0,12.07,23.8,2.75,29.16,2,78
137,4,51.61,2.72,25.77,19.89,6.1,29.16,2,78
138,3,49.34,1.92,26.36,21.76,7.61,29.16,2,78
139,3,37.38,0.01,21.89,30.74,4.25,28.91,2.2,79
140,3,51.9,0,17.94,20.46,7.96,28.91,2.2,79
141,3,33.44,29.06,57.54,15.25,7.01,28.91,2.2,79
142,2,22.74,45.3,15,12.53,5.48,28.91,2.2,79
143,3,33.34,26.04,31.45,19.53,5.79,28.91,2.2,79
144,2,31.44,2.28,42.82,10.4,3.85,28.91,2.2,79
145,2,48.37,6.53,0.48,14.31,8.34,28.59,1.9,81
146,4,32.04,0,6.45,50.22,2.34,28.59,1.9,81
147,4,33.53,28.01,15.7,15.36,5.31,28.59,1.9,81
148,2,32.68,0,5.28,32.97,3.61,28.59,1.9,81
149,3,43.56,11.52,46.6,18.69,6.63,28.59,1.9,81
150,2,38.67,10.16,8.81,25.66,3.59,27.89,2.2,83
151,2,37.12,2.49,34.76,12.61,9.03,27.86,1.1,88
152,4,36.21,14.54,49.54,15.06,7.8,27.86,1.1,88
153,3,43.97,0,57.35,30.02,3.54,27.86,1.1,88
154,3,42.22,0,15.15,29.57,4.05,27.86,1.1,88
155,3,42.25,10.1,37.58,25.32,4.74,26.74,1.6,92
156,4,30.02,25.19,67.14,17.41,4.52,26.74,1.6,92
157,2,56.71,0,11.2,25.38,10.32,26.74,1.6,92
158,2,21.53,33.52,23.02,20.74,2.52,26.74,1.6,92
159,3,47.03,0,19.78,31.27,4.52,25.84,2.8,89
160,3,36.76,0,13.97,31.94,3.96,25.84,2.8,89
161,3,36.76,0,13.97,31.94,3.96,25.84,2.8,89
